Time(s),Ch1(A),Ch2(V),Ch3(V)
-4.600000000000006861e-03,-6.963233999999999257e-01,-1.365339999999999956e-02,1.706649999999999877e-03
-4.400000000000001132e-03,-6.963233999999999257e-01,0.000000000000000000e+00,1.023990000000000013e-03
-4.199999999999995404e-03,-7.099767999999999635e-01,-1.365339999999999956e-02,-1.262921000000000009e-02
-4.000000000000003553e-03,-7.099767999999999635e-01,-6.826699999999999782e-03,-1.706649999999999877e-03
-3.799999999999997824e-03,-7.304568999999999646e-01,-1.365339999999999956e-02,-1.604250999999999941e-02
-3.600000000000005973e-03,-7.304568999999999646e-01,-6.826699999999999782e-03,-3.413299999999999754e-03
-3.400000000000000244e-03,-7.441103000000000023e-01,-2.048010000000000108e-02,-2.082113000000000019e-02
-3.199999999999994515e-03,-7.441103000000000023e-01,-1.365339999999999956e-02,3.754629999999999686e-03
-3.000000000000002665e-03,-7.645904000000000034e-01,0.000000000000000000e+00,-1.774915999999999994e-02
-2.799999999999996936e-03,-7.645904000000000034e-01,-1.365339999999999956e-02,-1.672517000000000101e-02
-2.600000000000005085e-03,-7.782437999999999301e-01,-6.826699999999999782e-03,-1.365319999999999945e-03
-2.399999999999999356e-03,-7.782437999999999301e-01,-2.048010000000000108e-02,-1.911447999999999967e-02
-2.200000000000007505e-03,-7.918971999999999678e-01,-6.826699999999999782e-03,-2.389309999999999958e-03
-2.000000000000001776e-03,-7.918971999999999678e-01,-6.826699999999999782e-03,-2.047980000000000026e-03
-1.799999999999996048e-03,-8.123772999999999689e-01,-2.048010000000000108e-02,-1.979713999999999779e-02
-1.600000000000004197e-03,-8.123772999999999689e-01,-6.826699999999999782e-03,-1.911447999999999967e-02
-1.399999999999998468e-03,-8.260307000000000066e-01,-1.365339999999999956e-02,-1.706649999999999877e-03
-1.200000000000006617e-03,-8.260307000000000066e-01,-2.048010000000000108e-02,-1.911447999999999967e-02
-1.000000000000000888e-03,-8.465108000000000077e-01,-6.826699999999999782e-03,0.000000000000000000e+00
