Time(s),Ch1(A),Ch2(V)
-1.125000000000000132e-02,-6.826699999999999990e-01,-6.826699999999999435e-02
-1.119999999999999989e-02,-6.826699999999999990e-01,-6.826699999999999435e-02
-1.115000000000000019e-02,-6.826699999999999990e-01,-4.778690000000000021e-02
-1.110000000000000049e-02,-6.894966999999999624e-01,-4.778690000000000021e-02
-1.105000000000000079e-02,-6.894966999999999624e-01,-6.826699999999999435e-02
-1.100000000000000110e-02,-6.894966999999999624e-01,-6.826699999999999435e-02
-1.095000000000000140e-02,-6.963233999999999257e-01,-6.144029999999999631e-02
-1.089999999999999997e-02,-6.963233999999999257e-01,-6.144029999999999631e-02
-1.085000000000000027e-02,-7.031501000000000001e-01,-5.461359999999999826e-02
-1.080000000000000057e-02,-6.963233999999999257e-01,-6.826699999999999435e-02
-1.075000000000000087e-02,-7.031501000000000001e-01,-5.461359999999999826e-02
-1.070000000000000118e-02,-7.031501000000000001e-01,-6.144029999999999631e-02
-1.065000000000000148e-02,-7.099767999999999635e-01,-7.509369999999999934e-02
-1.060000000000000005e-02,-7.099767999999999635e-01,-7.509369999999999934e-02
-1.055000000000000035e-02,-7.168034999999999268e-01,-7.509369999999999934e-02
-1.050000000000000065e-02,-7.099767999999999635e-01,-7.509369999999999934e-02
-1.045000000000000095e-02,-7.168034999999999268e-01,-6.826699999999999435e-02
-1.040000000000000126e-02,-7.168034999999999268e-01,-6.144029999999999631e-02
-1.034999999999999983e-02,-7.236302000000000012e-01,-8.192040000000000433e-02
-1.030000000000000013e-02,-7.236302000000000012e-01,-8.874709999999999543e-02
-1.025000000000000043e-02,-7.236302000000000012e-01,-7.509369999999999934e-02
-1.020000000000000073e-02,-7.236302000000000012e-01,-7.509369999999999934e-02
-1.015000000000000104e-02,-7.304568999999999646e-01,-8.192040000000000433e-02
-1.010000000000000134e-02,-7.304568999999999646e-01,-8.192040000000000433e-02
-1.004999999999999991e-02,-7.372835999999999279e-01,-9.557380000000000042e-02
-1.000000000000000021e-02,-7.304568999999999646e-01,-8.874709999999999543e-02
-9.950000000000000511e-03,-7.372835999999999279e-01,-8.192040000000000433e-02
-9.900000000000000813e-03,-7.372835999999999279e-01,-8.192040000000000433e-02
-9.850000000000001116e-03,-7.441103000000000023e-01,-9.557380000000000042e-02
-9.800000000000001418e-03,-7.441103000000000023e-01,-1.024004999999999915e-01
-9.749999999999999986e-03,-7.441103000000000023e-01,-8.874709999999999543e-02
-9.700000000000000289e-03,-7.441103000000000023e-01,-9.557380000000000042e-02
-9.650000000000000591e-03,-7.509369999999999656e-01,-1.024004999999999915e-01
-9.600000000000000894e-03,-7.509369999999999656e-01,-9.557380000000000042e-02
-9.550000000000001196e-03,-7.509369999999999656e-01,-8.874709999999999543e-02
-9.500000000000001499e-03,-7.509369999999999656e-01,-8.874709999999999543e-02
-9.450000000000000067e-03,-7.577636999999999290e-01,-1.024004999999999915e-01
-9.400000000000000369e-03,-7.577636999999999290e-01,-1.160539000000000015e-01
-9.350000000000000672e-03,-7.645904000000000034e-01,-1.024004999999999915e-01
-9.299999999999999239e-03,-7.645904000000000034e-01,-9.557380000000000042e-02
-9.250000000000001277e-03,-7.645904000000000034e-01,-1.160539000000000015e-01
-9.199999999999999845e-03,-7.645904000000000034e-01,-1.092271999999999965e-01
-9.150000000000001882e-03,-7.714170999999999667e-01,-1.160539000000000015e-01
-9.100000000000000450e-03,-7.782437999999999301e-01,-1.092271999999999965e-01
-9.049999999999999017e-03,-7.714170999999999667e-01,-1.160539000000000015e-01
-9.000000000000001055e-03,-7.714170999999999667e-01,-1.092271999999999965e-01
-8.949999999999999623e-03,-7.782437999999999301e-01,-1.160539000000000015e-01
-8.900000000000001660e-03,-7.782437999999999301e-01,-1.092271999999999965e-01
-8.850000000000000228e-03,-7.850705000000000044e-01,-1.160539000000000015e-01
-8.800000000000002265e-03,-7.850705000000000044e-01,-1.160539000000000015e-01
-8.750000000000000833e-03,-7.850705000000000044e-01,-1.297072999999999976e-01
-8.699999999999999400e-03,-7.850705000000000044e-01,-1.228805999999999926e-01
-8.650000000000001438e-03,-7.918971999999999678e-01,-1.297072999999999976e-01
-8.600000000000000006e-03,-7.918971999999999678e-01,-1.365339999999999887e-01
-8.550000000000002043e-03,-7.918971999999999678e-01,-1.228805999999999926e-01
-8.500000000000000611e-03,-7.918971999999999678e-01,-1.365339999999999887e-01
-8.449999999999999178e-03,-7.987238999999999312e-01,-1.160539000000000015e-01
-8.400000000000001216e-03,-7.987238999999999312e-01,-1.228805999999999926e-01
-8.349999999999999784e-03,-8.055506000000000055e-01,-1.365339999999999887e-01
-8.300000000000001821e-03,-8.055506000000000055e-01,-1.228805999999999926e-01
-8.250000000000000389e-03,-8.055506000000000055e-01,-1.433607000000000076e-01
-8.199999999999998956e-03,-8.055506000000000055e-01,-1.433607000000000076e-01
-8.150000000000000994e-03,-8.123772999999999689e-01,-1.297072999999999976e-01
-8.099999999999999561e-03,-8.123772999999999689e-01,-1.433607000000000076e-01
-8.050000000000001599e-03,-8.192039999999999322e-01,-1.297072999999999976e-01
-8.000000000000000167e-03,-8.123772999999999689e-01,-1.365339999999999887e-01
-7.950000000000002204e-03,-8.192039999999999322e-01,-1.501873999999999987e-01
-7.900000000000000772e-03,-8.192039999999999322e-01,-1.433607000000000076e-01
-7.849999999999999339e-03,-8.260307000000000066e-01,-1.570140999999999898e-01
-7.800000000000001377e-03,-8.260307000000000066e-01,-1.570140999999999898e-01
-7.749999999999999944e-03,-8.328573999999999700e-01,-1.433607000000000076e-01
-7.700000000000001982e-03,-8.260307000000000066e-01,-1.297072999999999976e-01
-7.650000000000000550e-03,-8.328573999999999700e-01,-1.570140999999999898e-01
-7.599999999999999117e-03,-8.328573999999999700e-01,-1.501873999999999987e-01
-7.550000000000001155e-03,-8.396840999999999333e-01,-1.570140999999999898e-01
-7.499999999999999722e-03,-8.328573999999999700e-01,-1.570140999999999898e-01
-7.450000000000001760e-03,-8.396840999999999333e-01,-1.706674999999999998e-01
-7.400000000000000328e-03,-8.396840999999999333e-01,-1.638408000000000087e-01
-7.349999999999998895e-03,-8.465108000000000077e-01,-1.501873999999999987e-01
-7.300000000000000933e-03,-8.465108000000000077e-01,-1.570140999999999898e-01
-7.249999999999999500e-03,-8.533374999999999710e-01,-1.638408000000000087e-01
-7.200000000000001538e-03,-8.465108000000000077e-01,-1.570140999999999898e-01
-7.150000000000000105e-03,-8.533374999999999710e-01,-1.706674999999999998e-01
-7.100000000000002143e-03,-8.601641999999999344e-01,-1.570140999999999898e-01
-7.050000000000000711e-03,-8.533374999999999710e-01,-1.706674999999999998e-01
-6.999999999999999278e-03,-8.533374999999999710e-01,-1.570140999999999898e-01
-6.950000000000001316e-03,-8.601641999999999344e-01,-1.706674999999999998e-01
-6.899999999999999883e-03,-8.601641999999999344e-01,-1.638408000000000087e-01
-6.850000000000001921e-03,-8.669909000000000088e-01,-1.706674999999999998e-01
-6.800000000000000488e-03,-8.669909000000000088e-01,-1.774941999999999909e-01
-6.749999999999999056e-03,-8.669909000000000088e-01,-1.843208999999999820e-01
-6.700000000000001094e-03,-8.669909000000000088e-01,-1.843208999999999820e-01
-6.649999999999999661e-03,-8.738175999999999721e-01,-1.706674999999999998e-01
-6.600000000000001699e-03,-8.738175999999999721e-01,-1.843208999999999820e-01
-6.550000000000000266e-03,-8.806442999999999355e-01,-1.774941999999999909e-01
-6.499999999999998834e-03,-8.806442999999999355e-01,-1.774941999999999909e-01
-6.450000000000000872e-03,-8.806442999999999355e-01,-1.911476000000000008e-01
-6.399999999999999439e-03,-8.806442999999999355e-01,-1.911476000000000008e-01
-6.350000000000001477e-03,-8.874710000000000099e-01,-1.979742999999999920e-01
-6.300000000000000044e-03,-8.874710000000000099e-01,-1.979742999999999920e-01
-6.250000000000002082e-03,-8.874710000000000099e-01,-1.843208999999999820e-01
-6.200000000000000649e-03,-8.874710000000000099e-01,-1.843208999999999820e-01
-6.149999999999999217e-03,-8.942976999999999732e-01,-1.979742999999999920e-01
-6.100000000000001255e-03,-8.942976999999999732e-01,-2.048009999999999831e-01
-6.049999999999999822e-03,-9.011243999999999366e-01,-1.911476000000000008e-01
-6.000000000000001860e-03,-8.942976999999999732e-01,-1.911476000000000008e-01
-5.950000000000000427e-03,-9.011243999999999366e-01,-2.048009999999999831e-01
-5.899999999999998995e-03,-9.011243999999999366e-01,-1.979742999999999920e-01
-5.850000000000001033e-03,-9.079511000000000109e-01,-1.911476000000000008e-01
-5.799999999999999600e-03,-9.079511000000000109e-01,-1.979742999999999920e-01
-5.750000000000001638e-03,-9.147777999999999743e-01,-2.116277000000000019e-01
-5.700000000000000205e-03,-9.079511000000000109e-01,-2.048009999999999831e-01
-5.649999999999998773e-03,-9.147777999999999743e-01,-2.252810999999999841e-01
-5.600000000000000810e-03,-9.147777999999999743e-01,-2.184543999999999930e-01
-5.549999999999999378e-03,-9.216044999999999376e-01,-2.048009999999999831e-01
-5.500000000000001416e-03,-9.216044999999999376e-01,-2.184543999999999930e-01
-5.449999999999999983e-03,-9.284312000000000120e-01,-2.048009999999999831e-01
-5.400000000000002021e-03,-9.284312000000000120e-01,-2.048009999999999831e-01
-5.350000000000000588e-03,-9.216044999999999376e-01,-2.184543999999999930e-01
-5.299999999999999156e-03,-9.284312000000000120e-01,-2.116277000000000019e-01
-5.250000000000001193e-03,-9.352578999999999754e-01,-2.184543999999999930e-01
-5.199999999999999761e-03,-9.284312000000000120e-01,-2.048009999999999831e-01
-5.150000000000001799e-03,-9.352578999999999754e-01,-2.184543999999999930e-01
-5.100000000000000366e-03,-9.352578999999999754e-01,-2.184543999999999930e-01
-5.049999999999998934e-03,-9.420845999999999387e-01,-2.321078000000000030e-01
-5.000000000000000971e-03,-9.420845999999999387e-01,-2.252810999999999841e-01
-4.949999999999999539e-03,-9.420845999999999387e-01,-2.184543999999999930e-01
-4.900000000000001577e-03,-9.420845999999999387e-01,-2.252810999999999841e-01
-4.850000000000000144e-03,-9.489113000000000131e-01,-2.321078000000000030e-01
-4.799999999999998712e-03,-9.489113000000000131e-01,-2.252810999999999841e-01
