Time(s),Ch1(A),Ch2(V),Ch3(V)
1.145000000000000011e-02,-5.051757999999999527e-01,3.037836999999999898e-01,-6.826699999999999782e-03
1.150000000000000154e-02,-5.051757999999999527e-01,3.003704000000000374e-01,-6.144029999999999977e-03
1.154999999999999950e-02,-4.983490999999999893e-01,2.935438000000000214e-01,4.778690000000000368e-03
1.160000000000000094e-02,-4.983490999999999893e-01,3.003704000000000374e-01,-6.826699999999999782e-03
1.164999999999999890e-02,-4.915223999999999704e-01,2.901305000000000134e-01,5.461360000000000173e-03
1.170000000000000033e-02,-4.983490999999999893e-01,2.935438000000000214e-01,-8.874710000000000931e-03
1.175000000000000176e-02,-4.915223999999999704e-01,2.969571000000000294e-01,7.509370000000000454e-03
1.179999999999999973e-02,-4.915223999999999704e-01,3.003704000000000374e-01,-6.144029999999999977e-03
1.185000000000000116e-02,-4.846957000000000071e-01,2.935438000000000214e-01,5.461360000000000173e-03
1.189999999999999912e-02,-4.846957000000000071e-01,2.969571000000000294e-01,-5.461360000000000173e-03
1.195000000000000055e-02,-4.846957000000000071e-01,3.037836999999999898e-01,6.144029999999999977e-03
1.200000000000000198e-02,-4.846957000000000071e-01,3.037836999999999898e-01,-6.826699999999999782e-03
1.204999999999999995e-02,-4.778689999999999882e-01,2.935438000000000214e-01,4.096020000000000563e-03
1.210000000000000138e-02,-4.778689999999999882e-01,2.935438000000000214e-01,-5.461360000000000173e-03
1.214999999999999934e-02,-4.710422999999999694e-01,3.140236000000000138e-01,7.509370000000000454e-03
1.220000000000000077e-02,-4.778689999999999882e-01,3.208502000000000298e-01,4.778690000000000368e-03
1.225000000000000221e-02,-4.710422999999999694e-01,3.071969999999999978e-01,-7.509370000000000454e-03
1.230000000000000017e-02,-4.710422999999999694e-01,3.003704000000000374e-01,-5.461360000000000173e-03
1.235000000000000160e-02,-4.642156000000000060e-01,3.140236000000000138e-01,6.826699999999999782e-03
1.239999999999999956e-02,-4.710422999999999694e-01,3.140236000000000138e-01,-7.509370000000000454e-03
1.245000000000000100e-02,-4.642156000000000060e-01,3.071969999999999978e-01,8.192040000000001126e-03
1.249999999999999896e-02,-4.642156000000000060e-01,3.174369000000000218e-01,8.874710000000000931e-03
1.255000000000000039e-02,-4.573888999999999871e-01,3.345034000000000063e-01,-5.461360000000000173e-03
1.260000000000000182e-02,-4.573888999999999871e-01,3.345034000000000063e-01,7.509370000000000454e-03
1.264999999999999979e-02,-4.505621999999999683e-01,3.652231000000000227e-01,-2.048010000000000282e-03
1.270000000000000122e-02,-4.573888999999999871e-01,3.652231000000000227e-01,5.461360000000000173e-03
1.274999999999999918e-02,-4.505621999999999683e-01,3.583965000000000067e-01,-3.413349999999999891e-03
1.280000000000000061e-02,-4.505621999999999683e-01,3.652231000000000227e-01,3.413349999999999891e-03
1.285000000000000205e-02,-4.437355000000000049e-01,3.515699000000000463e-01,-8.192040000000001126e-03
1.290000000000000001e-02,-4.505621999999999683e-01,3.515699000000000463e-01,6.826700000000000216e-04
1.295000000000000144e-02,-4.369087999999999861e-01,3.379167000000000143e-01,-6.144029999999999977e-03
1.299999999999999940e-02,-4.437355000000000049e-01,3.413300000000000223e-01,-8.874710000000000931e-03
1.305000000000000084e-02,-4.369087999999999861e-01,3.208502000000000298e-01,3.413349999999999891e-03
1.310000000000000227e-02,-4.369087999999999861e-01,3.242635000000000378e-01,6.144029999999999977e-03
1.315000000000000023e-02,-4.369087999999999861e-01,3.481566000000000383e-01,-1.365340000000000043e-03
1.320000000000000166e-02,-4.369087999999999861e-01,3.515699000000000463e-01,4.096020000000000563e-03
1.324999999999999963e-02,-4.300820999999999672e-01,3.549831999999999987e-01,-6.144029999999999977e-03
1.330000000000000106e-02,-4.300820999999999672e-01,3.481566000000000383e-01,-4.096020000000000563e-03
1.334999999999999902e-02,-4.232554000000000038e-01,3.515699000000000463e-01,2.730680000000000086e-03
1.340000000000000045e-02,-4.300820999999999672e-01,3.481566000000000383e-01,4.096020000000000563e-03
1.345000000000000188e-02,-4.232554000000000038e-01,3.583965000000000067e-01,-5.461360000000000173e-03
1.349999999999999985e-02,-4.232554000000000038e-01,3.549831999999999987e-01,-6.826699999999999782e-03
1.355000000000000128e-02,-4.164286999999999850e-01,3.345034000000000063e-01,6.144029999999999977e-03
1.359999999999999924e-02,-4.232554000000000038e-01,3.481566000000000383e-01,6.826699999999999782e-03
1.365000000000000067e-02,-4.164286999999999850e-01,3.652231000000000227e-01,-4.778690000000000368e-03
1.370000000000000211e-02,-4.164286999999999850e-01,3.652231000000000227e-01,4.096020000000000563e-03
1.375000000000000007e-02,-4.096019999999999661e-01,3.754630000000000467e-01,-1.024005000000000054e-02
1.380000000000000150e-02,-4.096019999999999661e-01,3.754630000000000467e-01,-7.509370000000000454e-03
1.384999999999999946e-02,-4.027753000000000028e-01,3.549831999999999987e-01,8.192040000000001126e-03
1.390000000000000090e-02,-4.096019999999999661e-01,3.618098000000000147e-01,9.557380000000000736e-03
1.395000000000000233e-02,-4.027753000000000028e-01,3.788762999999999992e-01,-4.778690000000000368e-03
1.400000000000000029e-02,-4.027753000000000028e-01,3.720497000000000387e-01,-1.024005000000000054e-02
1.405000000000000172e-02,-4.096019999999999661e-01,3.583965000000000067e-01,2.730680000000000086e-03
1.409999999999999969e-02,-4.164286999999999850e-01,3.618098000000000147e-01,-9.557380000000000736e-03
1.415000000000000112e-02,-4.164286999999999850e-01,3.686364000000000307e-01,7.509370000000000454e-03
1.419999999999999908e-02,-4.164286999999999850e-01,3.618098000000000147e-01,-3.413349999999999891e-03
1.425000000000000051e-02,-4.232554000000000038e-01,3.754630000000000467e-01,8.874710000000000931e-03
1.430000000000000195e-02,-4.232554000000000038e-01,3.686364000000000307e-01,3.413349999999999891e-03
1.434999999999999991e-02,-4.300820999999999672e-01,3.447433000000000303e-01,-1.433607000000000110e-02
1.440000000000000134e-02,-4.232554000000000038e-01,3.447433000000000303e-01,8.874710000000000931e-03
1.444999999999999930e-02,-4.300820999999999672e-01,3.549831999999999987e-01,-4.096020000000000563e-03
1.450000000000000074e-02,-4.300820999999999672e-01,3.515699000000000463e-01,5.461360000000000173e-03
1.455000000000000217e-02,-4.369087999999999861e-01,3.379167000000000143e-01,-8.192040000000001126e-03
1.460000000000000013e-02,-4.369087999999999861e-01,3.413300000000000223e-01,7.509370000000000454e-03
1.465000000000000156e-02,-4.437355000000000049e-01,3.515699000000000463e-01,-5.461360000000000173e-03
1.469999999999999953e-02,-4.437355000000000049e-01,3.447433000000000303e-01,4.778690000000000368e-03
1.475000000000000096e-02,-4.437355000000000049e-01,3.549831999999999987e-01,-8.192040000000001126e-03
1.480000000000000239e-02,-4.437355000000000049e-01,3.549831999999999987e-01,-1.024005000000000054e-02
1.485000000000000035e-02,-4.505621999999999683e-01,3.447433000000000303e-01,3.413349999999999891e-03
1.490000000000000178e-02,-4.505621999999999683e-01,3.447433000000000303e-01,6.144029999999999977e-03
1.494999999999999975e-02,-4.573888999999999871e-01,3.549831999999999987e-01,-6.826699999999999782e-03
1.500000000000000118e-02,-4.573888999999999871e-01,3.515699000000000463e-01,-1.297072999999999976e-02
1.504999999999999914e-02,-4.573888999999999871e-01,3.242635000000000378e-01,4.096020000000000563e-03
1.510000000000000057e-02,-4.573888999999999871e-01,3.310900999999999983e-01,-7.509370000000000454e-03
1.515000000000000201e-02,-4.642156000000000060e-01,3.447433000000000303e-01,8.874710000000000931e-03
1.519999999999999997e-02,-4.642156000000000060e-01,3.276767999999999903e-01,-7.509370000000000454e-03
1.525000000000000140e-02,-4.710422999999999694e-01,3.413300000000000223e-01,6.144029999999999977e-03
1.529999999999999936e-02,-4.710422999999999694e-01,3.276767999999999903e-01,-1.228805999999999995e-02
1.535000000000000080e-02,-4.778689999999999882e-01,3.379167000000000143e-01,8.192040000000001126e-03
1.540000000000000223e-02,-4.710422999999999694e-01,3.345034000000000063e-01,-8.192040000000001126e-03
1.545000000000000019e-02,-4.778689999999999882e-01,3.208502000000000298e-01,4.096020000000000563e-03
1.550000000000000162e-02,-4.778689999999999882e-01,3.276767999999999903e-01,-9.557380000000000736e-03
1.554999999999999959e-02,-4.846957000000000071e-01,3.071969999999999978e-01,5.461360000000000173e-03
1.560000000000000102e-02,-4.846957000000000071e-01,3.071969999999999978e-01,-7.509370000000000454e-03
1.564999999999999725e-02,-4.915223999999999704e-01,3.174369000000000218e-01,6.826699999999999782e-03
1.569999999999999868e-02,-4.846957000000000071e-01,3.174369000000000218e-01,-1.092272000000000035e-02
1.575000000000000011e-02,-4.915223999999999704e-01,2.935438000000000214e-01,5.461360000000000173e-03
1.580000000000000154e-02,-4.915223999999999704e-01,3.003704000000000374e-01,-1.228805999999999995e-02
1.585000000000000298e-02,-4.983490999999999893e-01,2.798905999999999894e-01,5.461360000000000173e-03
1.589999999999999747e-02,-4.983490999999999893e-01,2.901305000000000134e-01,6.826699999999999782e-03
1.594999999999999890e-02,-5.051757999999999527e-01,2.696507000000000209e-01,-8.192040000000001126e-03
1.600000000000000033e-02,-4.983490999999999893e-01,2.730640000000000289e-01,5.461360000000000173e-03
1.605000000000000177e-02,-5.051757999999999527e-01,2.628241000000000049e-01,-4.778690000000000368e-03
1.610000000000000320e-02,-5.051757999999999527e-01,2.559974999999999890e-01,-6.826699999999999782e-03
1.614999999999999769e-02,-5.120025000000000270e-01,2.764773000000000369e-01,1.024005000000000054e-02
1.619999999999999912e-02,-5.120025000000000270e-01,2.696507000000000209e-01,-1.297072999999999976e-02
1.625000000000000056e-02,-5.188291999999999904e-01,2.559974999999999890e-01,4.778690000000000368e-03
1.630000000000000199e-02,-5.188291999999999904e-01,2.559974999999999890e-01,-6.826699999999999782e-03
