Time(s),Ch1(V),Ch2(A)
-2.239999999999991998e-03,-6.826599999999999335e-01,-1.058122999999999925e+00
-2.219999999999999751e-03,-6.485269999999999646e-01,-1.058122999999999925e+00
-2.199999999999993627e-03,-6.485269999999999646e-01,-1.058122999999999925e+00
-2.180000000000001381e-03,-6.485269999999999646e-01,-1.023989999999999956e+00
-2.159999999999995257e-03,-6.485269999999999646e-01,-1.058122999999999925e+00
-2.140000000000003011e-03,-6.485269999999999646e-01,-1.023989999999999956e+00
-2.119999999999996887e-03,-6.485269999999999646e-01,-1.023989999999999956e+00
-2.099999999999990763e-03,-6.143939999999998847e-01,-1.023989999999999956e+00
-2.079999999999998517e-03,-6.143939999999998847e-01,-1.023989999999999956e+00
-2.059999999999992393e-03,-6.143939999999998847e-01,-1.023989999999999956e+00
-2.040000000000000147e-03,-6.143939999999998847e-01,-1.023989999999999956e+00
-2.019999999999994023e-03,-5.802609999999999157e-01,-1.023989999999999956e+00
-2.000000000000001776e-03,-5.802609999999999157e-01,-9.898569999999998759e-01
-1.979999999999995652e-03,-5.802609999999999157e-01,-9.898569999999998759e-01
-1.960000000000003406e-03,-5.802609999999999157e-01,-9.898569999999998759e-01
-1.939999999999997282e-03,-5.802609999999999157e-01,-9.898569999999998759e-01
-1.919999999999991158e-03,-5.461279999999999468e-01,-9.898569999999998759e-01
-1.899999999999998912e-03,-5.461279999999999468e-01,-9.898569999999998759e-01
-1.879999999999992788e-03,-5.461279999999999468e-01,-9.898569999999998759e-01
-1.860000000000000542e-03,-5.461279999999999468e-01,-9.898569999999998759e-01
-1.839999999999994418e-03,-5.119949999999999779e-01,-9.557239999999999069e-01
-1.820000000000002172e-03,-5.461279999999999468e-01,-9.557239999999999069e-01
-1.799999999999996048e-03,-5.119949999999999779e-01,-9.557239999999999069e-01
-1.780000000000003801e-03,-5.119949999999999779e-01,-9.215909999999999380e-01
-1.759999999999997677e-03,-5.119949999999999779e-01,-9.215909999999999380e-01
-1.739999999999991553e-03,-4.778619999999999535e-01,-9.215909999999999380e-01
-1.719999999999999307e-03,-4.778619999999999535e-01,-9.215909999999999380e-01
-1.699999999999993183e-03,-4.778619999999999535e-01,-9.215909999999999380e-01
-1.680000000000000937e-03,-4.778619999999999535e-01,-9.215909999999999380e-01
-1.659999999999994813e-03,-4.778619999999999535e-01,-8.874579999999998581e-01
-1.640000000000002567e-03,-4.437289999999999290e-01,-9.215909999999999380e-01
-1.619999999999996443e-03,-4.437289999999999290e-01,-8.874579999999998581e-01
-1.600000000000004197e-03,-4.437289999999999290e-01,-8.874579999999998581e-01
-1.579999999999998073e-03,-4.095959999999999601e-01,-9.215909999999999380e-01
-1.559999999999991949e-03,-4.095959999999999601e-01,-8.874579999999998581e-01
-1.539999999999999702e-03,-4.095959999999999601e-01,-8.874579999999998581e-01
-1.519999999999993578e-03,-4.095959999999999601e-01,-8.533249999999998892e-01
-1.500000000000001332e-03,-4.095959999999999601e-01,-8.533249999999998892e-01
-1.479999999999995208e-03,-3.754629999999999912e-01,-8.533249999999998892e-01
-1.460000000000002962e-03,-3.754629999999999912e-01,-8.533249999999998892e-01
-1.439999999999996838e-03,-3.754629999999999912e-01,-8.533249999999998892e-01
-1.419999999999990714e-03,-3.413299999999999668e-01,-8.533249999999998892e-01
-1.399999999999998468e-03,-3.413299999999999668e-01,-8.533249999999998892e-01
-1.379999999999992344e-03,-3.413299999999999668e-01,-8.533249999999998892e-01
-1.360000000000000098e-03,-3.413299999999999668e-01,-8.533249999999998892e-01
-1.339999999999993974e-03,-3.413299999999999668e-01,-8.533249999999998892e-01
-1.320000000000001728e-03,-3.071969999999999423e-01,-8.191919999999999202e-01
-1.299999999999995604e-03,-3.071969999999999423e-01,-8.191919999999999202e-01
-1.280000000000003357e-03,-3.071969999999999423e-01,-8.191919999999999202e-01
-1.259999999999997233e-03,-3.071969999999999423e-01,-7.850589999999999513e-01
-1.239999999999991109e-03,-3.071969999999999423e-01,-7.850589999999999513e-01
-1.219999999999998863e-03,-2.730639999999999734e-01,-7.850589999999999513e-01
-1.199999999999992739e-03,-2.730639999999999734e-01,-7.850589999999999513e-01
-1.180000000000000493e-03,-2.730639999999999734e-01,-7.850589999999999513e-01
-1.159999999999994369e-03,-2.730639999999999734e-01,-7.850589999999999513e-01
-1.140000000000002123e-03,-2.389309999999999767e-01,-7.850589999999999513e-01
-1.119999999999995999e-03,-2.389309999999999767e-01,-7.850589999999999513e-01
-1.100000000000003753e-03,-2.389309999999999767e-01,-7.850589999999999513e-01
-1.079999999999997629e-03,-2.389309999999999767e-01,-7.509259999999999824e-01
-1.059999999999991505e-03,-2.047979999999999801e-01,-7.509259999999999824e-01
-1.039999999999999258e-03,-2.047979999999999801e-01,-7.509259999999999824e-01
-1.019999999999993134e-03,-2.047979999999999801e-01,-7.509259999999999824e-01
-1.000000000000000888e-03,-2.047979999999999801e-01,-7.509259999999999824e-01
-9.799999999999947642e-04,-2.047979999999999801e-01,-7.167929999999999024e-01
-9.600000000000025180e-04,-1.706649999999999834e-01,-7.167929999999999024e-01
-9.399999999999963940e-04,-1.706649999999999834e-01,-7.167929999999999024e-01
-9.200000000000041478e-04,-1.706649999999999834e-01,-7.167929999999999024e-01
-8.999999999999980238e-04,-1.706649999999999834e-01,-7.167929999999999024e-01
-8.799999999999918998e-04,-1.706649999999999834e-01,-7.167929999999999024e-01
-8.599999999999996536e-04,-1.706649999999999834e-01,-7.167929999999999024e-01
-8.399999999999935296e-04,-1.365319999999999867e-01,-6.826599999999999335e-01
-8.200000000000012834e-04,-1.365319999999999867e-01,-6.826599999999999335e-01
