Time(s),Ch1(V),Ch2(A)
-5.299999999999999156e-02,-1.740782999999999747e+00,-2.116245999999999849e+00
-5.279999999999999277e-02,-1.740782999999999747e+00,-2.116245999999999849e+00
-5.259999999999999398e-02,-1.672516999999999809e+00,-2.013846999999999721e+00
-5.239999999999999519e-02,-1.672516999999999809e+00,-2.013846999999999721e+00
-5.219999999999999640e-02,-1.570117999999999903e+00,-1.911447999999999814e+00
-5.199999999999999067e-02,-1.570117999999999903e+00,-1.911447999999999814e+00
-5.179999999999999188e-02,-1.467718999999999774e+00,-1.809048999999999907e+00
-5.159999999999999309e-02,-1.467718999999999774e+00,-1.809048999999999907e+00
-5.139999999999999430e-02,-1.331186999999999898e+00,-1.706649999999999778e+00
-5.119999999999999551e-02,-1.365319999999999867e+00,-1.706649999999999778e+00
-5.099999999999999672e-02,-1.228787999999999769e+00,-1.570117999999999903e+00
-5.079999999999999100e-02,-1.228787999999999769e+00,-1.570117999999999903e+00
-5.059999999999999221e-02,-1.126388999999999863e+00,-1.467718999999999774e+00
-5.039999999999999342e-02,-1.126388999999999863e+00,-1.467718999999999774e+00
-5.019999999999999463e-02,-1.023989999999999956e+00,-1.399452999999999836e+00
-4.999999999999999584e-02,-1.023989999999999956e+00,-1.365319999999999867e+00
-4.979999999999999011e-02,-8.874579999999998581e-01,-1.262920999999999960e+00
-4.959999999999999132e-02,-8.874579999999998581e-01,-1.297053999999999929e+00
-4.939999999999999253e-02,-8.533249999999998892e-01,-1.194654999999999800e+00
-4.919999999999999374e-02,-8.191919999999999202e-01,-1.160521999999999831e+00
-4.899999999999999495e-02,-8.533249999999998892e-01,-1.058122999999999925e+00
-4.879999999999999616e-02,-8.533249999999998892e-01,-1.058122999999999925e+00
-4.859999999999999043e-02,-8.191919999999999202e-01,-9.557239999999999069e-01
-4.839999999999999164e-02,-8.191919999999999202e-01,-9.557239999999999069e-01
-4.819999999999999285e-02,-7.509259999999999824e-01,-8.533249999999998892e-01
-4.799999999999999406e-02,-7.509259999999999824e-01,-8.533249999999998892e-01
-4.779999999999999527e-02,-6.485269999999999646e-01,-7.509259999999999824e-01
-4.759999999999999648e-02,-6.143939999999998847e-01,-7.509259999999999824e-01
-4.739999999999999075e-02,-5.461279999999999468e-01,-6.485269999999999646e-01
-4.719999999999999196e-02,-5.119949999999999779e-01,-6.485269999999999646e-01
-4.699999999999999317e-02,-4.095959999999999601e-01,-5.461279999999999468e-01
-4.679999999999999438e-02,-4.095959999999999601e-01,-5.461279999999999468e-01
-4.659999999999999559e-02,-2.730639999999999734e-01,-4.437289999999999290e-01
-4.639999999999998986e-02,-2.730639999999999734e-01,-4.437289999999999290e-01
-4.619999999999999107e-02,-1.706649999999999834e-01,-3.413299999999999668e-01
-4.599999999999999228e-02,-1.706649999999999834e-01,-3.413299999999999668e-01
-4.579999999999999349e-02,-6.826599999999999335e-02,-2.389309999999999767e-01
-4.559999999999999470e-02,-6.826599999999999335e-02,-2.389309999999999767e-01
-4.539999999999999591e-02,3.413299999999999668e-02,-1.365319999999999867e-01
-4.519999999999999019e-02,3.413299999999999668e-02,-1.365319999999999867e-01
-4.499999999999999140e-02,6.826599999999999335e-02,-3.413299999999999668e-02
-4.479999999999999261e-02,6.826599999999999335e-02,-3.413299999999999668e-02
-4.459999999999999382e-02,6.826599999999999335e-02,6.826599999999999335e-02
-4.439999999999999503e-02,6.826599999999999335e-02,6.826599999999999335e-02
-4.419999999999999624e-02,1.023989999999999900e-01,1.706649999999999834e-01
-4.399999999999999051e-02,1.023989999999999900e-01,1.706649999999999834e-01
-4.379999999999999172e-02,2.047979999999999801e-01,2.730639999999999734e-01
-4.359999999999999293e-02,2.047979999999999801e-01,2.730639999999999734e-01
-4.339999999999999414e-02,3.071969999999999423e-01,3.413299999999999668e-01
-4.319999999999999535e-02,3.413299999999999668e-01,3.754629999999999912e-01
-4.299999999999998962e-02,4.437289999999999290e-01,4.778619999999999535e-01
-4.279999999999999083e-02,4.437289999999999290e-01,4.437289999999999290e-01
-4.259999999999999204e-02,5.461279999999999468e-01,5.802609999999999157e-01
-4.239999999999999325e-02,5.802609999999999157e-01,5.802609999999999157e-01
-4.219999999999999446e-02,6.826599999999999335e-01,6.826599999999999335e-01
-4.199999999999999567e-02,6.826599999999999335e-01,6.826599999999999335e-01
-4.179999999999998994e-02,7.850589999999999513e-01,7.850589999999999513e-01
-4.159999999999999115e-02,7.850589999999999513e-01,7.850589999999999513e-01
-4.139999999999999236e-02,8.874579999999998581e-01,8.533249999999998892e-01
-4.119999999999999357e-02,8.874579999999998581e-01,8.533249999999998892e-01
-4.099999999999999478e-02,9.557239999999999069e-01,9.557239999999999069e-01
-4.079999999999999599e-02,9.557239999999999069e-01,9.557239999999999069e-01
-4.059999999999999026e-02,9.898569999999998759e-01,1.058122999999999925e+00
-4.039999999999999147e-02,9.557239999999999069e-01,1.058122999999999925e+00
-4.019999999999999268e-02,9.898569999999998759e-01,1.194654999999999800e+00
-3.999999999999999389e-02,9.898569999999998759e-01,1.160521999999999831e+00
-3.979999999999999510e-02,1.058122999999999925e+00,1.297053999999999929e+00
-3.959999999999999631e-02,1.058122999999999925e+00,1.262920999999999960e+00
-3.939999999999999059e-02,1.160521999999999831e+00,1.365319999999999867e+00
-3.919999999999999180e-02,1.160521999999999831e+00,1.365319999999999867e+00
-3.899999999999999301e-02,1.262920999999999960e+00,1.467718999999999774e+00
-3.879999999999998728e-02,1.262920999999999960e+00,1.467718999999999774e+00
-3.859999999999999543e-02,1.365319999999999867e+00,1.570117999999999903e+00
-3.839999999999998970e-02,1.399452999999999836e+00,1.570117999999999903e+00
-3.819999999999999785e-02,1.501851999999999965e+00,1.672516999999999809e+00
-3.799999999999999212e-02,1.501851999999999965e+00,1.672516999999999809e+00
-3.779999999999998639e-02,1.604250999999999872e+00,1.774915999999999716e+00
-3.759999999999999454e-02,1.604250999999999872e+00,1.774915999999999716e+00
-3.739999999999998881e-02,1.706649999999999778e+00,1.877314999999999845e+00
-3.719999999999999696e-02,1.706649999999999778e+00,1.877314999999999845e+00
-3.699999999999999123e-02,1.809048999999999907e+00,1.979713999999999752e+00
-3.679999999999999938e-02,1.774915999999999716e+00,1.979713999999999752e+00
-3.659999999999999365e-02,1.877314999999999845e+00,2.082112999999999658e+00
-3.639999999999998792e-02,1.877314999999999845e+00,2.082112999999999658e+00
-3.619999999999999607e-02,1.911447999999999814e+00,2.184511999999999787e+00
-3.599999999999999034e-02,1.911447999999999814e+00,2.184511999999999787e+00
-3.579999999999999849e-02,2.013846999999999721e+00,2.286910999999999916e+00
-3.559999999999999276e-02,2.013846999999999721e+00,2.286910999999999916e+00
-3.539999999999998703e-02,2.116245999999999849e+00,2.389309999999999601e+00
-3.519999999999999518e-02,2.116245999999999849e+00,2.389309999999999601e+00
-3.499999999999998945e-02,2.218644999999999978e+00,2.491708999999999730e+00
-3.479999999999999760e-02,2.218644999999999978e+00,2.491708999999999730e+00
-3.459999999999999187e-02,2.321043999999999663e+00,2.594107999999999858e+00
-3.439999999999998614e-02,2.321043999999999663e+00,2.594107999999999858e+00
-3.419999999999999429e-02,2.389309999999999601e+00,2.696506999999999543e+00
-3.399999999999998856e-02,2.389309999999999601e+00,2.696506999999999543e+00
-3.379999999999999671e-02,2.491708999999999730e+00,2.798905999999999672e+00
-3.359999999999999098e-02,2.491708999999999730e+00,2.798905999999999672e+00
-3.339999999999999913e-02,2.594107999999999858e+00,2.901304999999999801e+00
-3.319999999999999341e-02,2.594107999999999858e+00,2.901304999999999801e+00
-3.299999999999998768e-02,2.491708999999999730e+00,2.764772999999999925e+00
-3.279999999999999583e-02,2.457575999999999539e+00,2.764772999999999925e+00
-3.259999999999999010e-02,2.355176999999999854e+00,2.662373999999999796e+00
-3.239999999999999825e-02,2.355176999999999854e+00,2.628240999999999605e+00
-3.219999999999999252e-02,2.252777999999999725e+00,2.525841999999999921e+00
-3.199999999999998679e-02,2.252777999999999725e+00,2.525841999999999921e+00
-3.179999999999999494e-02,2.116245999999999849e+00,2.423442999999999792e+00
-3.159999999999998921e-02,2.116245999999999849e+00,2.389309999999999601e+00
-3.139999999999999736e-02,2.013846999999999721e+00,2.286910999999999916e+00
-3.119999999999999163e-02,2.013846999999999721e+00,2.286910999999999916e+00
-3.099999999999998590e-02,1.945580999999999783e+00,2.184511999999999787e+00
-3.079999999999999405e-02,1.911447999999999814e+00,2.184511999999999787e+00
-3.059999999999998832e-02,1.877314999999999845e+00,2.047979999999999912e+00
-3.039999999999999647e-02,1.877314999999999845e+00,2.082112999999999658e+00
-3.019999999999999074e-02,1.774915999999999716e+00,1.945580999999999783e+00
-2.999999999999999889e-02,1.774915999999999716e+00,1.945580999999999783e+00
-2.979999999999999316e-02,1.672516999999999809e+00,1.843181999999999876e+00
-2.959999999999998743e-02,1.672516999999999809e+00,1.843181999999999876e+00
-2.939999999999999558e-02,1.535984999999999934e+00,1.740782999999999747e+00
-2.919999999999998985e-02,1.535984999999999934e+00,1.740782999999999747e+00
-2.899999999999999800e-02,1.433585999999999805e+00,1.638383999999999840e+00
-2.879999999999999227e-02,1.433585999999999805e+00,1.638383999999999840e+00
-2.859999999999998654e-02,1.297053999999999929e+00,1.501851999999999965e+00
-2.839999999999999469e-02,1.297053999999999929e+00,1.501851999999999965e+00
-2.819999999999998896e-02,1.228787999999999769e+00,1.399452999999999836e+00
-2.799999999999999711e-02,1.194654999999999800e+00,1.399452999999999836e+00
-2.779999999999999138e-02,1.092255999999999894e+00,1.297053999999999929e+00
-2.759999999999998566e-02,1.092255999999999894e+00,1.297053999999999929e+00
-2.739999999999999380e-02,1.023989999999999956e+00,1.194654999999999800e+00
-2.719999999999998808e-02,1.023989999999999956e+00,1.194654999999999800e+00
-2.699999999999999623e-02,9.557239999999999069e-01,1.092255999999999894e+00
-2.679999999999999050e-02,9.898569999999998759e-01,1.092255999999999894e+00
-2.659999999999999865e-02,9.557239999999999069e-01,9.898569999999998759e-01
-2.639999999999999292e-02,9.557239999999999069e-01,9.898569999999998759e-01
-2.619999999999998719e-02,8.874579999999998581e-01,8.874579999999998581e-01
-2.599999999999999534e-02,9.215909999999999380e-01,8.874579999999998581e-01
-2.579999999999998961e-02,8.191919999999999202e-01,7.850589999999999513e-01
-2.559999999999999776e-02,8.191919999999999202e-01,7.850589999999999513e-01
-2.539999999999999203e-02,6.826599999999999335e-01,6.826599999999999335e-01
-2.519999999999998630e-02,6.826599999999999335e-01,6.826599999999999335e-01
-2.499999999999999445e-02,5.802609999999999157e-01,5.461279999999999468e-01
-2.479999999999998872e-02,5.802609999999999157e-01,5.802609999999999157e-01
-2.459999999999999687e-02,4.437289999999999290e-01,4.437289999999999290e-01
-2.439999999999999114e-02,4.437289999999999290e-01,4.778619999999999535e-01
-2.419999999999998541e-02,3.413299999999999668e-01,3.754629999999999912e-01
-2.399999999999999356e-02,3.413299999999999668e-01,3.754629999999999912e-01
-2.379999999999998783e-02,2.047979999999999801e-01,2.389309999999999767e-01
-2.359999999999999598e-02,2.047979999999999801e-01,2.730639999999999734e-01
-2.339999999999999025e-02,1.023989999999999900e-01,1.706649999999999834e-01
-2.319999999999999840e-02,1.023989999999999900e-01,1.365319999999999867e-01
-2.299999999999999267e-02,6.826599999999999335e-02,3.413299999999999668e-02
-2.279999999999998694e-02,6.826599999999999335e-02,3.413299999999999668e-02
-2.259999999999999509e-02,6.826599999999999335e-02,-3.413299999999999668e-02
-2.239999999999998936e-02,6.826599999999999335e-02,-6.826599999999999335e-02
-2.219999999999999751e-02,0.000000000000000000e+00,-1.706649999999999834e-01
-2.199999999999999178e-02,3.413299999999999668e-02,-1.706649999999999834e-01
-2.179999999999998606e-02,-1.023989999999999900e-01,-2.730639999999999734e-01
-2.159999999999999420e-02,-6.826599999999999335e-02,-2.730639999999999734e-01
-2.139999999999998848e-02,-2.047979999999999801e-01,-3.754629999999999912e-01
-2.119999999999999662e-02,-1.706649999999999834e-01,-3.754629999999999912e-01
-2.099999999999999090e-02,-3.071969999999999423e-01,-4.437289999999999290e-01
-2.079999999999998517e-02,-3.071969999999999423e-01,-4.778619999999999535e-01
-2.059999999999999332e-02,-4.095959999999999601e-01,-5.461279999999999468e-01
-2.039999999999998759e-02,-4.095959999999999601e-01,-5.802609999999999157e-01
-2.019999999999999574e-02,-5.461279999999999468e-01,-6.826599999999999335e-01
-1.999999999999999001e-02,-5.461279999999999468e-01,-6.826599999999999335e-01
-1.979999999999999816e-02,-6.485269999999999646e-01,-7.850589999999999513e-01
-1.959999999999999243e-02,-6.485269999999999646e-01,-7.850589999999999513e-01
-1.939999999999998670e-02,-7.509259999999999824e-01,-8.874579999999998581e-01
-1.919999999999999485e-02,-7.509259999999999824e-01,-8.533249999999998892e-01
