Time(s),Ch1(A),Ch2(V)
-3.210000000000000180e-03,1.706699999999999884e-02,-2.389310000000000045e-02
-3.199999999999999720e-03,3.413399999999999768e-02,-2.321043999999999885e-02
-3.190000000000000127e-03,5.120099999999999651e-02,-2.594107999999999831e-02
-3.179999999999999667e-03,3.413399999999999768e-02,-2.833039000000000043e-02
-3.170000000000000075e-03,5.120099999999999651e-02,-2.662373999999999991e-02
-3.160000000000000048e-03,5.120099999999999651e-02,-2.662373999999999991e-02
-3.150000000000000022e-03,3.413399999999999768e-02,-2.969571000000000016e-02
-3.139999999999999996e-03,1.706699999999999884e-02,-2.867171999999999776e-02
-3.129999999999999970e-03,5.120099999999999651e-02,-3.071969999999999909e-02
-3.119999999999999944e-03,3.413399999999999768e-02,-3.071969999999999909e-02
-3.109999999999999917e-03,6.826799999999999535e-02,-3.242634999999999962e-02
-3.099999999999999891e-03,6.826799999999999535e-02,-3.106102999999999989e-02
-3.089999999999999865e-03,3.413399999999999768e-02,-2.730639999999999804e-02
-3.079999999999999839e-03,5.120099999999999651e-02,-2.798905999999999963e-02
-3.069999999999999812e-03,3.413399999999999768e-02,-2.594107999999999831e-02
-3.060000000000000220e-03,3.413399999999999768e-02,-2.696506999999999724e-02
-3.049999999999999760e-03,6.826799999999999535e-02,-2.969571000000000016e-02
-3.039999999999999734e-03,3.413399999999999768e-02,-3.003703999999999749e-02
-3.030000000000000141e-03,6.826799999999999535e-02,-2.662373999999999991e-02
-3.020000000000000115e-03,5.120099999999999651e-02,-2.559974999999999751e-02
-3.010000000000000089e-03,6.826799999999999535e-02,-2.252778000000000072e-02
-3.000000000000000062e-03,6.826799999999999535e-02,-2.218644999999999992e-02
-2.990000000000000036e-03,5.120099999999999651e-02,-2.013846999999999859e-02
-2.980000000000000010e-03,3.413399999999999768e-02,-2.150378999999999832e-02
-2.969999999999999984e-03,6.826799999999999535e-02,-2.559974999999999751e-02
-2.959999999999999958e-03,5.120099999999999651e-02,-2.628240999999999911e-02
-2.949999999999999931e-03,8.533499999999999419e-02,-2.867171999999999776e-02
-2.939999999999999905e-03,5.120099999999999651e-02,-2.969571000000000016e-02
-2.929999999999999879e-03,6.826799999999999535e-02,-2.833039000000000043e-02
