Stage position (µm),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
6.36006,220.700,2102.50,0.0922761,10000.0,1.02901E+7,1.69842E+6,21025.0,353692,2207.00,7.00000,27.0000
6.38020,254.800,2353.90,0.0113974,10000.0,1.02796E+7,1.69786E+6,23539.0,353974,2548.00,1.00000,17.0000
6.39973,303.400,2596.70,0.0956091,10000.0,1.02859E+7,1.69767E+6,25967.0,354592,3034.00,10.0000,23.0000
6.41987,339.200,2827.70,0.0683330,10000.0,1.02808E+7,1.69913E+6,28277.0,354837,3392.00,8.00000,21.0000
6.44002,383.100,2930.40,0.0757279,10000.0,1.02766E+7,1.70089E+6,29304.0,354228,3831.00,10.0000,31.0000
6.46016,376.800,2950.70,0.0307664,10000.0,1.02765E+7,1.69882E+6,29507.0,354583,3768.00,4.00000,29.0000
6.48030,391.200,2939.90,0.0444842,10000.0,1.02792E+7,1.69740E+6,29399.0,354409,3912.00,6.00000,20.0000
6.49983,371.500,2788.30,0.0703532,10000.0,1.02765E+7,1.69506E+6,27883.0,353870,3715.00,9.00000,25.0000
6.51997,344.100,2573.40,0.0674135,10000.0,1.02825E+7,1.69970E+6,25734.0,354615,3441.00,8.00000,30.0000
6.54012,305.600,2326.00,0.0472758,10000.0,1.02732E+7,1.70169E+6,23260.0,355535,3056.00,5.00000,16.0000
6.55965,278.300,2078.50,0.0729577,10000.0,1.02735E+7,1.70118E+6,20785.0,354187,2783.00,7.00000,18.0000
6.57918,229.300,1801.20,0.0378270,10000.0,1.02791E+7,1.69796E+6,18012.0,355526,2293.00,3.00000,18.0000
6.59993,193.800,1576.30,0.0600436,10000.0,1.02774E+7,1.69781E+6,15763.0,353283,1938.00,4.00000,15.0000
6.62069,164.700,1498.00,0.0528333,10000.0,1.02678E+7,1.70078E+6,14980.0,353996,1647.00,3.00000,15.0000
6.64022,148.000,1464.50,0.0391300,10000.0,1.02845E+7,1.70147E+6,14645.0,355175,1480.00,2.00000,11.0000
6.65975,147.200,1524.20,0.0392811,10000.0,1.02639E+7,1.70203E+6,15242.0,355017,1472.00,2.00000,16.0000
6.67989,158.600,1667.40,0.0364402,10000.0,1.02664E+7,1.70305E+6,16674.0,355274,1586.00,2.00000,10.0000
6.70003,189.100,1899.00,0.168078,10000.0,1.02717E+7,1.69850E+6,18990.0,355495,1891.00,11.0000,18.0000
6.72018,243.200,2170.30,0.0356221,10000.0,1.02690E+7,1.69960E+6,21703.0,355604,2432.00,3.00000,21.0000
6.74032,270.900,2439.00,0.0213770,10000.0,1.02682E+7,1.70006E+6,24390.0,354625,2709.00,2.00000,14.0000
6.75985,304.100,2691.50,0.0382109,10000.0,1.02811E+7,1.70154E+6,26915.0,353913,3041.00,4.00000,20.0000
6.77999,356.600,2891.00,0.0487575,10000.0,1.02785E+7,1.69724E+6,28910.0,354696,3566.00,6.00000,24.0000
6.80013,367.600,2955.10,0.0549961,10000.0,1.02674E+7,1.70110E+6,29551.0,355509,3676.00,7.00000,30.0000
6.82028,387.700,2961.50,0.0596897,10000.0,1.02619E+7,1.70094E+6,29615.0,354749,3877.00,8.00000,20.0000
6.83981,376.500,2885.50,0.0612953,10000.0,1.02777E+7,1.70491E+6,28855.0,356283,3765.00,8.00000,29.0000
6.85995,368.600,2720.50,0.0472226,10000.0,1.02844E+7,1.69841E+6,27205.0,354509,3686.00,6.00000,20.0000
6.87948,337.600,2494.10,0.0939921,10000.0,1.02711E+7,1.70049E+6,24941.0,356053,3376.00,11.0000,25.0000
6.90023,293.500,2229.50,0.0492970,10000.0,1.02707E+7,1.70144E+6,22295.0,354929,2935.00,5.00000,17.0000
6.91977,257.200,1945.80,0.0674603,10000.0,1.02778E+7,1.70273E+6,19458.0,355411,2572.00,6.00000,22.0000
6.93991,218.800,1712.80,0.0397725,10000.0,1.02785E+7,1.70093E+6,17128.0,354341,2188.00,3.00000,8.00000
6.96005,186.200,1575.90,0.0466783,10000.0,1.02829E+7,1.70082E+6,15759.0,354931,1862.00,3.00000,9.00000
6.98019,156.800,1461.20,0.0185222,10000.0,1.02661E+7,1.69867E+6,14612.0,353480,1568.00,1.00000,10.0000
6.99973,149.800,1463.00,0.116036,10000.0,1.02793E+7,1.70199E+6,14630.0,354821,1498.00,6.00000,11.0000
7.01987,153.100,1605.00,0.00000,10000.0,1.02785E+7,1.70355E+6,16050.0,354160,1531.00,0.00000,10.0000
