Time(s),Voltage(V)
-3.770000000000000018e+00,-3.926099999999999729e-02
-3.764999999999999680e+00,3.243299999999999655e-02
-3.759999999999999787e+00,2.219099999999999892e-02
-3.754999999999999893e+00,-3.413999999999999674e-02
-3.750000000000000000e+00,-2.901899999999999966e-02
-3.745000000000000107e+00,3.584699999999999692e-02
-3.740000000000000213e+00,-3.072599999999999984e-02
-3.734999999999999876e+00,2.901899999999999966e-02
-3.729999999999999982e+00,3.755399999999999711e-02
-3.724999999999999645e+00,-2.901899999999999966e-02
-3.719999999999999751e+00,-3.243299999999999655e-02
-3.714999999999999858e+00,3.755399999999999711e-02
-3.709999999999999964e+00,2.731199999999999947e-02
-3.705000000000000071e+00,-3.072599999999999984e-02
-3.700000000000000178e+00,-2.901899999999999966e-02
-3.695000000000000284e+00,3.243299999999999655e-02
-3.689999999999999947e+00,-3.243299999999999655e-02
-3.685000000000000053e+00,2.901899999999999966e-02
-3.679999999999999716e+00,3.584699999999999692e-02
-3.674999999999999822e+00,-3.584699999999999692e-02
-3.669999999999999929e+00,-3.243299999999999655e-02
-3.665000000000000036e+00,3.243299999999999655e-02
-3.660000000000000142e+00,2.901899999999999966e-02
-3.655000000000000249e+00,-3.243299999999999655e-02
-3.649999999999999911e+00,-2.389799999999999910e-02
-3.645000000000000018e+00,3.413999999999999674e-02
-3.639999999999999680e+00,-3.584699999999999692e-02
-3.634999999999999787e+00,2.560499999999999929e-02
-3.629999999999999893e+00,2.901899999999999966e-02
-3.625000000000000000e+00,-3.243299999999999655e-02
-3.620000000000000107e+00,-3.584699999999999692e-02
-3.615000000000000213e+00,3.413999999999999674e-02
-3.609999999999999876e+00,2.731199999999999947e-02
-3.604999999999999982e+00,-3.584699999999999692e-02
-3.599999999999999645e+00,-2.560499999999999929e-02
-3.594999999999999751e+00,3.413999999999999674e-02
-3.589999999999999858e+00,-3.243299999999999655e-02
-3.584999999999999964e+00,2.901899999999999966e-02
-3.580000000000000071e+00,3.072599999999999984e-02
-3.575000000000000178e+00,-3.072599999999999984e-02
-3.570000000000000284e+00,-3.584699999999999692e-02
-3.564999999999999947e+00,3.584699999999999692e-02
-3.560000000000000053e+00,2.389799999999999910e-02
-3.554999999999999716e+00,-3.413999999999999674e-02
-3.549999999999999822e+00,-2.560499999999999929e-02
-3.544999999999999929e+00,3.584699999999999692e-02
-3.540000000000000036e+00,-3.243299999999999655e-02
-3.535000000000000142e+00,3.072599999999999984e-02
-3.530000000000000249e+00,3.755399999999999711e-02
-3.524999999999999911e+00,-3.413999999999999674e-02
-3.520000000000000018e+00,-3.243299999999999655e-02
-3.514999999999999680e+00,3.584699999999999692e-02
-3.509999999999999787e+00,2.560499999999999929e-02
-3.504999999999999893e+00,-3.072599999999999984e-02
-3.500000000000000000e+00,-2.731199999999999947e-02
-3.495000000000000107e+00,3.584699999999999692e-02
-3.490000000000000213e+00,-3.243299999999999655e-02
-3.484999999999999876e+00,2.560499999999999929e-02
-3.479999999999999982e+00,3.413999999999999674e-02
-3.474999999999999645e+00,-3.072599999999999984e-02
-3.469999999999999751e+00,-2.901899999999999966e-02
-3.464999999999999858e+00,3.413999999999999674e-02
-3.459999999999999964e+00,2.560499999999999929e-02
-3.455000000000000071e+00,-3.755399999999999711e-02
-3.450000000000000178e+00,-2.389799999999999910e-02
-3.445000000000000284e+00,2.901899999999999966e-02
-3.439999999999999947e+00,-3.584699999999999692e-02
-3.435000000000000053e+00,2.901899999999999966e-02
-3.429999999999999716e+00,3.243299999999999655e-02
-3.424999999999999822e+00,-3.755399999999999711e-02
-3.419999999999999929e+00,-3.413999999999999674e-02
-3.415000000000000036e+00,3.413999999999999674e-02
-3.410000000000000142e+00,2.560499999999999929e-02
-3.405000000000000249e+00,-3.413999999999999674e-02
-3.399999999999999911e+00,-2.731199999999999947e-02
-3.395000000000000018e+00,2.901899999999999966e-02
-3.389999999999999680e+00,-3.584699999999999692e-02
-3.384999999999999787e+00,3.072599999999999984e-02
-3.379999999999999893e+00,3.243299999999999655e-02
-3.375000000000000000e+00,-2.731199999999999947e-02
-3.370000000000000107e+00,-3.413999999999999674e-02
-3.365000000000000213e+00,3.072599999999999984e-02
-3.359999999999999876e+00,2.389799999999999910e-02
-3.354999999999999982e+00,-3.413999999999999674e-02
-3.349999999999999645e+00,-2.901899999999999966e-02
-3.344999999999999751e+00,3.243299999999999655e-02
-3.339999999999999858e+00,-3.072599999999999984e-02
-3.334999999999999964e+00,2.389799999999999910e-02
-3.330000000000000071e+00,3.243299999999999655e-02
-3.325000000000000178e+00,-2.560499999999999929e-02
-3.320000000000000284e+00,-3.243299999999999655e-02
-3.314999999999999947e+00,3.755399999999999711e-02
-3.310000000000000053e+00,2.731199999999999947e-02
-3.304999999999999716e+00,-3.072599999999999984e-02
-3.299999999999999822e+00,-2.560499999999999929e-02
-3.294999999999999929e+00,3.413999999999999674e-02
-3.290000000000000036e+00,-2.901899999999999966e-02
-3.285000000000000142e+00,3.072599999999999984e-02
-3.280000000000000249e+00,3.413999999999999674e-02
-3.274999999999999911e+00,-3.243299999999999655e-02
-3.270000000000000018e+00,-3.072599999999999984e-02
-3.264999999999999680e+00,2.901899999999999966e-02
-3.259999999999999787e+00,2.731199999999999947e-02
-3.254999999999999893e+00,-3.243299999999999655e-02
-3.250000000000000000e+00,-2.560499999999999929e-02
-3.245000000000000107e+00,3.413999999999999674e-02
-3.240000000000000213e+00,-3.584699999999999692e-02
-3.234999999999999876e+00,3.072599999999999984e-02
-3.229999999999999982e+00,3.072599999999999984e-02
-3.224999999999999645e+00,-3.243299999999999655e-02
-3.219999999999999751e+00,-3.243299999999999655e-02
-3.214999999999999858e+00,3.243299999999999655e-02
-3.209999999999999964e+00,2.731199999999999947e-02
-3.205000000000000071e+00,-3.413999999999999674e-02
-3.200000000000000178e+00,-2.901899999999999966e-02
-3.195000000000000284e+00,3.755399999999999711e-02
-3.189999999999999947e+00,-3.413999999999999674e-02
-3.185000000000000053e+00,3.072599999999999984e-02
-3.179999999999999716e+00,3.243299999999999655e-02
-3.174999999999999822e+00,-3.072599999999999984e-02
-3.169999999999999929e+00,-3.584699999999999692e-02
-3.165000000000000036e+00,3.584699999999999692e-02
-3.160000000000000142e+00,2.731199999999999947e-02
-3.155000000000000249e+00,-2.901899999999999966e-02
-3.149999999999999911e+00,-2.560499999999999929e-02
-3.145000000000000018e+00,3.072599999999999984e-02
-3.139999999999999680e+00,-3.243299999999999655e-02
-3.134999999999999787e+00,3.243299999999999655e-02
-3.129999999999999893e+00,3.413999999999999674e-02
-3.125000000000000000e+00,-2.901899999999999966e-02
-3.120000000000000107e+00,-3.072599999999999984e-02
-3.115000000000000213e+00,3.413999999999999674e-02
-3.109999999999999876e+00,2.560499999999999929e-02
-3.104999999999999982e+00,-3.072599999999999984e-02
-3.099999999999999645e+00,-2.901899999999999966e-02
-3.094999999999999751e+00,3.243299999999999655e-02
-3.089999999999999858e+00,-3.243299999999999655e-02
-3.084999999999999964e+00,3.072599999999999984e-02
-3.080000000000000071e+00,2.901899999999999966e-02
-3.075000000000000178e+00,-2.901899999999999966e-02
-3.070000000000000284e+00,-3.072599999999999984e-02
-3.064999999999999947e+00,3.584699999999999692e-02
-3.060000000000000053e+00,2.560499999999999929e-02
-3.054999999999999716e+00,-3.584699999999999692e-02
-3.049999999999999822e+00,-2.389799999999999910e-02
-3.044999999999999929e+00,3.072599999999999984e-02
-3.040000000000000036e+00,-3.243299999999999655e-02
-3.035000000000000142e+00,2.901899999999999966e-02
-3.030000000000000249e+00,3.243299999999999655e-02
-3.024999999999999911e+00,-3.584699999999999692e-02
-3.020000000000000018e+00,-3.755399999999999711e-02
-3.014999999999999680e+00,3.243299999999999655e-02
-3.009999999999999787e+00,2.219099999999999892e-02
-3.004999999999999893e+00,-3.584699999999999692e-02
-3.000000000000000000e+00,3.072599999999999984e-02
-2.995000000000000107e+00,-2.219099999999999892e-02
-2.989999999999999769e+00,-3.584699999999999692e-02
-2.984999999999999876e+00,2.901899999999999966e-02
-2.979999999999999982e+00,3.243299999999999655e-02
-2.975000000000000089e+00,-2.901899999999999966e-02
-2.969999999999999751e+00,-2.731199999999999947e-02
-2.964999999999999858e+00,3.413999999999999674e-02
-2.959999999999999964e+00,2.560499999999999929e-02
-2.955000000000000071e+00,-3.584699999999999692e-02
-2.950000000000000178e+00,-2.731199999999999947e-02
-2.944999999999999840e+00,3.584699999999999692e-02
-2.939999999999999947e+00,-3.072599999999999984e-02
-2.935000000000000053e+00,2.560499999999999929e-02
-2.930000000000000160e+00,3.584699999999999692e-02
-2.924999999999999822e+00,-3.243299999999999655e-02
-2.919999999999999929e+00,-3.072599999999999984e-02
-2.915000000000000036e+00,3.584699999999999692e-02
-2.910000000000000142e+00,2.901899999999999966e-02
-2.904999999999999805e+00,-3.584699999999999692e-02
-2.899999999999999911e+00,-2.389799999999999910e-02
-2.895000000000000018e+00,3.072599999999999984e-02
-2.890000000000000124e+00,-3.072599999999999984e-02
-2.884999999999999787e+00,2.389799999999999910e-02
-2.879999999999999893e+00,3.584699999999999692e-02
-2.875000000000000000e+00,-3.072599999999999984e-02
-2.870000000000000107e+00,-3.584699999999999692e-02
-2.864999999999999769e+00,2.901899999999999966e-02
-2.859999999999999876e+00,2.560499999999999929e-02
-2.854999999999999982e+00,-3.243299999999999655e-02
-2.850000000000000089e+00,-2.389799999999999910e-02
-2.844999999999999751e+00,3.413999999999999674e-02
