Stage position (µm),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
6.54012,271.400,2273.50,0.0324610,10000.0,1.02664E+7,1.67593E+6,22735.0,349598,2714.00,3.00000,24.0000
6.56087,276.100,2284.00,0.0212825,10000.0,1.02694E+7,1.67743E+6,22840.0,349532,2761.00,2.00000,13.0000
6.57979,268.200,2258.00,0.0547415,10000.0,1.02686E+7,1.67778E+6,22580.0,349709,2682.00,5.00000,21.0000
6.59993,262.800,2257.20,0.0558220,10000.0,1.02782E+7,1.67628E+6,22572.0,350314,2628.00,5.00000,25.0000
6.62008,281.400,2252.80,0.0208551,10000.0,1.02744E+7,1.67636E+6,22528.0,350146,2814.00,2.00000,21.0000
6.64022,281.700,2276.70,0.0521025,10000.0,1.02675E+7,1.67949E+6,22767.0,349777,2817.00,5.00000,19.0000
6.65975,278.300,2274.20,0.0420753,10000.0,1.02677E+7,1.67876E+6,22742.0,350746,2783.00,4.00000,21.0000
6.67989,274.200,2246.60,0.0856462,10000.0,1.02643E+7,1.67653E+6,22466.0,349657,2742.00,8.00000,17.0000
6.70003,273.500,2222.70,0.107342,10000.0,1.02789E+7,1.67962E+6,22227.0,350123,2735.00,10.0000,20.0000
6.72018,255.200,2251.10,0.0688432,10000.0,1.02667E+7,1.68133E+6,22511.0,350622,2552.00,6.00000,18.0000
6.73971,268.500,2249.60,0.0435756,10000.0,1.02685E+7,1.68309E+6,22496.0,351057,2685.00,4.00000,10.0000
6.75985,265.900,2262.90,0.0330761,10000.0,1.02672E+7,1.68104E+6,22629.0,350220,2659.00,3.00000,17.0000
6.77999,269.400,2243.00,0.0649886,10000.0,1.02686E+7,1.68405E+6,22430.0,351907,2694.00,6.00000,14.0000
6.80013,272.700,2248.30,0.0535798,10000.0,1.02701E+7,1.68525E+6,22483.0,351445,2727.00,5.00000,18.0000
6.82028,271.100,2261.10,0.0107841,10000.0,1.02713E+7,1.68467E+6,22611.0,351327,2711.00,1.00000,23.0000
6.83981,271.300,2269.70,0.0862102,10000.0,1.02758E+7,1.68468E+6,22697.0,351476,2713.00,8.00000,22.0000
6.85995,269.900,2244.10,0.0216419,10000.0,1.02747E+7,1.68568E+6,22441.0,351803,2699.00,2.00000,14.0000
6.88009,270.900,2260.20,0.107716,10000.0,1.02646E+7,1.68513E+6,22602.0,351765,2709.00,10.0000,19.0000
6.90023,268.300,2268.90,0.0760675,10000.0,1.02811E+7,1.68637E+6,22689.0,352628,2683.00,7.00000,19.0000
6.91977,270.400,2284.90,0.0648142,10000.0,1.02762E+7,1.68785E+6,22849.0,351810,2704.00,6.00000,16.0000
6.93991,279.400,2264.80,0.0417709,10000.0,1.02718E+7,1.68916E+6,22648.0,352053,2794.00,4.00000,13.0000
6.96005,282.500,2311.80,0.0929297,10000.0,1.02741E+7,1.68693E+6,23118.0,352218,2825.00,9.00000,25.0000
6.98019,267.700,2275.40,0.0654627,10000.0,1.02821E+7,1.68755E+6,22754.0,352038,2677.00,6.00000,22.0000
6.99973,269.500,2269.60,0.0972077,10000.0,1.02772E+7,1.68763E+6,22696.0,353067,2695.00,9.00000,23.0000
7.01987,277.300,2272.30,0.0946743,10000.0,1.02771E+7,1.69029E+6,22723.0,352316,2773.00,9.00000,22.0000
7.03940,278.400,2253.50,0.0734785,10000.0,1.02784E+7,1.68770E+6,22535.0,351719,2784.00,7.00000,21.0000
7.06015,279.800,2299.20,0.0941614,10000.0,1.02770E+7,1.68673E+6,22992.0,351065,2798.00,9.00000,20.0000
7.08029,268.700,2273.30,0.0543943,10000.0,1.02716E+7,1.68737E+6,22733.0,351389,2687.00,5.00000,27.0000
