Stage position (µm),Coincidence rate (Hz) - T&B,Count rate (Hz) - B,g2(0) - T&A&B,Capture duration (ms),Counts - T,Counts - A,Counts - B,Counts - T&A,Counts - T&B,Counts - T&A&B,Counts - A&B
7.06015,93.0000,878.000,0.00000,1000.00,1.03505E+6,161967,878.000,33306.0,93.0000,0.00000,0.00000
7.08029,113.000,1054.00,0.272847,1000.00,1.03665E+6,161541,1054.00,33623.0,113.000,1.00000,0.00000
7.09983,127.000,1070.00,0.00000,1000.00,1.03561E+6,161967,1070.00,33522.0,127.000,0.00000,1.00000
7.11997,135.000,1248.00,0.00000,1000.00,1.03590E+6,162426,1248.00,33227.0,135.000,0.00000,1.00000
7.14011,162.000,1255.00,0.190319,1000.00,1.03622E+6,162022,1255.00,33609.0,162.000,1.00000,2.00000
7.16025,181.000,1391.00,0.00000,1000.00,1.03544E+6,162680,1391.00,33434.0,181.000,0.00000,1.00000
7.17978,159.000,1253.00,0.00000,1000.00,1.03733E+6,161549,1253.00,33213.0,159.000,0.00000,0.00000
7.19993,138.000,1266.00,0.221686,1000.00,1.03513E+6,162456,1266.00,33836.0,138.000,1.00000,1.00000
7.21946,170.000,1287.00,0.00000,1000.00,1.03758E+6,162401,1287.00,33554.0,170.000,0.00000,0.00000
7.24021,155.000,1122.00,0.00000,1000.00,1.03832E+6,162084,1122.00,33385.0,155.000,0.00000,0.00000
7.25974,135.000,1049.00,0.00000,1000.00,1.03827E+6,161858,1049.00,33496.0,135.000,0.00000,0.00000
7.27989,119.000,954.000,0.00000,1000.00,1.03789E+6,162097,954.000,33393.0,119.000,0.00000,0.00000
7.30003,100.000,827.000,0.00000,1000.00,1.03692E+6,162480,827.000,33711.0,100.000,0.00000,0.00000
7.32017,96.0000,779.000,0.00000,1000.00,1.03714E+6,162979,779.000,33583.0,96.0000,0.00000,0.00000
7.33970,82.0000,684.000,0.00000,1000.00,1.03631E+6,162571,684.000,33707.0,82.0000,0.00000,2.00000
7.35984,59.0000,662.000,0.00000,1000.00,1.03710E+6,162748,662.000,33866.0,59.0000,0.00000,0.00000
7.37999,82.0000,732.000,0.00000,1000.00,1.03720E+6,163052,732.000,33717.0,82.0000,0.00000,0.00000
7.40013,79.0000,667.000,0.390992,1000.00,1.03711E+6,163034,667.000,33576.0,79.0000,1.00000,1.00000
7.42088,67.0000,808.000,0.00000,1000.00,1.03852E+6,162728,808.000,33834.0,67.0000,0.00000,0.00000
7.44041,84.0000,824.000,0.365811,1000.00,1.03787E+6,163205,824.000,33776.0,84.0000,1.00000,1.00000
7.46055,85.0000,916.000,0.00000,1000.00,1.03701E+6,162855,916.000,33813.0,85.0000,0.00000,0.00000
7.48009,110.000,1062.00,0.00000,1000.00,1.03444E+6,162214,1062.00,33492.0,110.000,0.00000,2.00000
7.50023,139.000,1162.00,0.00000,1000.00,1.03649E+6,163565,1162.00,33474.0,139.000,0.00000,1.00000
7.51976,158.000,1230.00,0.00000,1000.00,1.03627E+6,163565,1230.00,33990.0,158.000,0.00000,1.00000
7.53990,137.000,1307.00,0.00000,1000.00,1.03379E+6,163291,1307.00,33714.0,137.000,0.00000,1.00000
7.56005,156.000,1311.00,0.00000,1000.00,1.03835E+6,162872,1311.00,33677.0,156.000,0.00000,2.00000
7.58019,154.000,1260.00,0.00000,1000.00,1.03732E+6,162237,1260.00,33716.0,154.000,0.00000,0.00000
7.59972,159.000,1260.00,0.00000,1000.00,1.03689E+6,163234,1260.00,34166.0,159.000,0.00000,0.00000
7.61986,144.000,1188.00,0.00000,1000.00,1.03791E+6,163000,1188.00,33707.0,144.000,0.00000,0.00000
7.64000,141.000,1118.00,0.218513,1000.00,1.03859E+6,162863,1118.00,33709.0,141.000,1.00000,2.00000
7.66015,128.000,980.000,0.00000,1000.00,1.04107E+6,163284,980.000,33728.0,128.000,0.00000,1.00000
7.68029,120.000,858.000,0.00000,1000.00,1.03591E+6,163280,858.000,33784.0,120.000,0.00000,3.00000
7.69982,105.000,789.000,0.00000,1000.00,1.03540E+6,163577,789.000,34058.0,105.000,0.00000,0.00000
7.72057,87.0000,716.000,0.00000,1000.00,1.03758E+6,163464,716.000,33949.0,87.0000,0.00000,0.00000
7.74010,88.0000,702.000,0.00000,1000.00,1.03685E+6,163245,702.000,34074.0,88.0000,0.00000,0.00000
7.76025,62.0000,683.000,0.00000,1000.00,1.03834E+6,163351,683.000,33553.0,62.0000,0.00000,1.00000
7.77978,75.0000,755.000,0.00000,1000.00,1.03977E+6,162932,755.000,33448.0,75.0000,0.00000,1.00000
7.79992,80.0000,703.000,0.00000,1000.00,1.03696E+6,164107,703.000,34060.0,80.0000,0.00000,1.00000
7.82006,75.0000,832.000,0.00000,1000.00,1.03668E+6,163031,832.000,33595.0,75.0000,0.00000,1.00000
7.84021,86.0000,912.000,0.00000,1000.00,1.03846E+6,163289,912.000,33775.0,86.0000,0.00000,0.00000
7.85974,97.0000,1009.00,0.00000,1000.00,1.03808E+6,164261,1009.00,33996.0,97.0000,0.00000,1.00000
7.87927,120.000,1043.00,0.00000,1000.00,1.03654E+6,163113,1043.00,33917.0,120.000,0.00000,1.00000
7.90002,123.000,1125.00,0.248289,1000.00,1.03752E+6,163031,1125.00,33973.0,123.000,1.00000,2.00000
7.92016,161.000,1241.00,0.00000,1000.00,1.03960E+6,164014,1241.00,33972.0,161.000,0.00000,2.00000
7.93970,163.000,1309.00,0.00000,1000.00,1.03796E+6,162279,1309.00,33724.0,163.000,0.00000,0.00000
7.95984,188.000,1282.00,0.162473,1000.00,1.03712E+6,162875,1282.00,33954.0,188.000,1.00000,0.00000
7.97998,159.000,1311.00,0.00000,1000.00,1.03631E+6,162962,1311.00,33731.0,159.000,0.00000,2.00000
8.00012,165.000,1192.00,0.00000,1000.00,1.03902E+6,163391,1192.00,33673.0,165.000,0.00000,0.00000
8.02026,138.000,1088.00,0.00000,1000.00,1.03675E+6,163356,1088.00,33977.0,138.000,0.00000,0.00000
8.03980,154.000,1082.00,0.198574,1000.00,1.03891E+6,164137,1082.00,33973.0,154.000,1.00000,1.00000
8.05994,116.000,919.000,0.00000,1000.00,1.03812E+6,164907,919.000,33816.0,116.000,0.00000,0.00000
8.08008,109.000,893.000,0.00000,1000.00,1.03823E+6,163862,893.000,33915.0,109.000,0.00000,1.00000
8.10022,106.000,744.000,0.00000,1000.00,1.03901E+6,163825,744.000,34002.0,106.000,0.00000,0.00000
8.11975,97.0000,704.000,0.00000,1000.00,1.03779E+6,164576,704.000,34161.0,97.0000,0.00000,1.00000
8.13990,66.0000,690.000,0.00000,1000.00,1.03776E+6,163604,690.000,34198.0,66.0000,0.00000,2.00000
8.16004,59.0000,713.000,0.518186,1000.00,1.03783E+6,163875,713.000,33946.0,59.0000,1.00000,1.00000
8.18079,68.0000,655.000,0.00000,1000.00,1.03879E+6,162311,655.000,33795.0,68.0000,0.00000,1.00000
8.19971,90.0000,842.000,0.00000,1000.00,1.03880E+6,163953,842.000,33912.0,90.0000,0.00000,0.00000
8.22047,77.0000,836.000,0.00000,1000.00,1.03836E+6,164628,836.000,34277.0,77.0000,0.00000,1.00000
8.24000,84.0000,896.000,0.00000,1000.00,1.03808E+6,164585,896.000,34249.0,84.0000,0.00000,0.00000
8.26014,134.000,1040.00,0.228093,1000.00,1.03708E+6,164103,1040.00,33931.0,134.000,1.00000,0.00000
8.28028,133.000,1155.00,0.00000,1000.00,1.03898E+6,163951,1155.00,33959.0,133.000,0.00000,1.00000
8.29981,164.000,1272.00,0.186938,1000.00,1.03697E+6,164033,1272.00,33824.0,164.000,1.00000,0.00000
8.31996,161.000,1301.00,0.189343,1000.00,1.03927E+6,164494,1301.00,34092.0,161.000,1.00000,2.00000
8.34010,157.000,1312.00,0.194216,1000.00,1.03800E+6,163748,1312.00,34042.0,157.000,1.00000,2.00000
8.36024,167.000,1296.00,0.00000,1000.00,1.03709E+6,164190,1296.00,34072.0,167.000,0.00000,1.00000
8.37977,142.000,1277.00,0.00000,1000.00,1.03747E+6,163155,1277.00,33931.0,142.000,0.00000,1.00000
8.40052,157.000,1168.00,0.193029,1000.00,1.03715E+6,164890,1168.00,34223.0,157.000,1.00000,2.00000
8.42067,138.000,1045.00,0.00000,1000.00,1.03717E+6,164004,1045.00,33913.0,138.000,0.00000,1.00000
8.44020,124.000,964.000,0.00000,1000.00,1.03542E+6,163850,964.000,34044.0,124.000,0.00000,1.00000
8.45973,102.000,917.000,0.00000,1000.00,1.03825E+6,164504,917.000,33794.0,102.000,0.00000,0.00000
8.47987,95.0000,815.000,0.00000,1000.00,1.03729E+6,164278,815.000,34160.0,95.0000,0.00000,0.00000
8.50002,90.0000,714.000,0.00000,1000.00,1.03664E+6,163992,714.000,33734.0,90.0000,0.00000,0.00000
8.52077,78.0000,665.000,0.00000,1000.00,1.03636E+6,164902,665.000,34169.0,78.0000,0.00000,1.00000
8.54030,71.0000,698.000,0.00000,1000.00,1.03720E+6,164329,698.000,34013.0,71.0000,0.00000,0.00000
8.55983,79.0000,660.000,0.00000,1000.00,1.03458E+6,163706,660.000,34004.0,79.0000,0.00000,0.00000
8.57997,82.0000,779.000,0.00000,1000.00,1.03602E+6,164189,779.000,34061.0,82.0000,0.00000,1.00000
8.60012,113.000,864.000,0.00000,1000.00,1.03855E+6,165089,864.000,34250.0,113.000,0.00000,0.00000
8.62026,89.0000,912.000,0.00000,1000.00,1.03579E+6,164517,912.000,33962.0,89.0000,0.00000,1.00000
8.63979,126.000,1049.00,0.00000,1000.00,1.03861E+6,164863,1049.00,34051.0,126.000,0.00000,0.00000
8.65993,136.000,1149.00,0.00000,1000.00,1.03882E+6,163946,1149.00,33831.0,136.000,0.00000,0.00000
8.68007,137.000,1229.00,0.00000,1000.00,1.03575E+6,164636,1229.00,34087.0,137.000,0.00000,1.00000
8.70022,143.000,1332.00,0.00000,1000.00,1.03886E+6,164468,1332.00,34142.0,143.000,0.00000,4.00000
8.72036,157.000,1284.00,0.00000,1000.00,1.03775E+6,163940,1284.00,34097.0,157.000,0.00000,0.00000
8.74050,187.000,1266.00,0.00000,1000.00,1.03951E+6,164440,1266.00,34163.0,187.000,0.00000,1.00000
8.76003,201.000,1278.00,0.152846,1000.00,1.03755E+6,164671,1278.00,33772.0,201.000,1.00000,2.00000
8.78018,152.000,1181.00,0.00000,1000.00,1.03787E+6,164738,1181.00,34350.0,152.000,0.00000,0.00000
8.79971,155.000,1161.00,0.195392,1000.00,1.03656E+6,165414,1161.00,34226.0,155.000,1.00000,3.00000
8.81985,139.000,1075.00,0.00000,1000.00,1.03567E+6,164840,1075.00,34063.0,139.000,0.00000,0.00000
8.83999,132.000,968.000,0.00000,1000.00,1.03550E+6,165502,968.000,34400.0,132.000,0.00000,0.00000
8.86013,114.000,860.000,0.00000,1000.00,1.03728E+6,164266,860.000,34223.0,114.000,0.00000,0.00000
8.88089,85.0000,759.000,0.357979,1000.00,1.03894E+6,165180,759.000,34144.0,85.0000,1.00000,1.00000
